asset,beta_bri,year,br,compounded_xret,rank_beta,rank_br,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,soe
519,-0.081762952,2016,1.06E-05,-0.392954556,-0.886914378,-0.689822294,1.22663662,-0.3844433,-2.281634205,0.355555512,1
520,0.004227345,2017,2.89E-05,0.104317294,0.443005181,0.32642487,1.070067251,0.775935273,-0.473882393,0.337950544,0
523,0.021443349,2019,2.11E-05,-0.538565784,0.403846154,0.276442308,0.6756179,1.139675648,0.16872676,-0.577821744,1
524,0.005572637,2017,2.99E-05,-0.044601977,0.556994819,0.349740933,1.072609303,0.541183196,-0.092374561,-0.067939948,1
524,0.029792271,2018,4.79E-05,-0.275371756,0.634803922,0.730392157,1.057193666,0.913448383,0.268798019,-0.097318125,1
524,0.032306951,2019,1.63E-05,0.233862589,0.569711538,-0.024038462,0.951429338,1.174333289,0.63443614,0.152569308,1
528,0.028602389,2016,0.000126078,0.239461948,0.379644588,0.983844911,1.486011407,0.629804082,0.445489013,-0.047872491,1
528,0.011339407,2017,9.80E-05,-0.185923565,0.78238342,0.932642487,1.281244512,1.259686383,0.811512543,-0.180685834,1
528,-0.006804649,2018,3.46E-05,-0.045058657,-0.24754902,0.509803922,1.31044068,0.088951869,0.162744193,-0.156063631,1
528,0.008837966,2019,3.25E-05,0.325326927,0.192307692,0.574519231,1.162131454,0.544032586,0.820062614,0.172196972,1
530,0.014154521,2019,1.27E-05,0.153234461,0.295673077,-0.189903846,0.967394488,1.444474775,0.620910765,-0.253563911,1
533,0.003029059,2017,1.12E-05,-0.233604402,0.295336788,-0.582901554,0.503902498,0.346339936,-0.276307493,-0.105990401,0
533,0.009551806,2018,2.23E-05,-0.063288915,0.225490196,0.161764706,1.021828986,2.149318995,0.23478703,-0.439974334,0
533,-0.099336084,2019,3.39E-05,0.049932014,-0.956730769,0.598557692,1.272802991,1.280602364,-0.297175107,0.842988134,0
541,0.002723257,2019,1.09E-05,0.127667571,0.100961538,-0.350961538,0.644977347,0.411173157,-0.089942483,0.459565319,1
546,0.120349258,2016,1.99E-05,0.2134332,0.948303716,0.066235864,0.989101089,1.00488001,-0.034883147,-0.507320822,0
546,-0.01037016,2017,7.82E-06,-0.290110589,-0.808290155,-0.974093264,1.017660669,0.010051614,-0.63375381,0.593942348,0
548,-0.01698834,2016,2.08E-05,-0.395909895,-0.295638126,0.105008078,1.126910915,0.97576156,-0.215755704,0.192059218,1
548,0.003418003,2017,2.28E-05,0.005173325,0.347150259,0.103626943,0.965598889,1.122565066,0.06778407,0.021051795,1
548,0.01854,2018,1.23E-05,-0.176778903,0.421568627,-0.279411765,0.893326753,1.216551801,0.32254376,-0.412380858,1
550,-0.006545808,2016,1.24E-05,-0.322048705,-0.153473344,-0.43457189,1.175109669,0.802956975,1.111774444,-0.104660742,1
551,-0.026059594,2016,6.58E-05,-0.375754322,-0.441033926,0.851373183,1.112768381,1.636880789,0.26471688,-0.297292031,1
551,-0.005330376,2017,3.82E-05,0.145159803,-0.632124352,0.556994819,1.198038878,1.265617768,-0.026464894,0.216947917,1
551,0.028695169,2018,8.10E-05,0.437802743,0.615196078,0.931372549,1.09600237,1.485734231,0.388870579,-0.208462402,1
551,-0.016328019,2019,8.66E-05,-0.149692676,-0.298076923,0.947115385,1.146669928,1.072394168,0.420221027,-0.434838018,1
552,0.01387303,2016,2.36E-05,-0.070912524,0.153473344,0.250403877,1.44676595,-0.243304416,-0.433803219,0.220600803,1
552,-0.043299995,2018,1.18E-05,-0.156426946,-0.823529412,-0.352941176,1.053273753,1.036727234,0.731521812,-0.211579731,1
554,-0.011098632,2017,1.83E-05,-1.28E-05,-0.829015544,-0.095854922,1.276738304,0.889504807,-0.141141831,0.54436894,1
560,-0.076173286,2016,1.64E-05,-0.175229362,-0.873990307,-0.066235864,0.875774198,-0.133047377,-1.232422001,0.511161299,0
560,0.004844508,2017,6.45E-06,-0.156257873,0.489637306,-0.997409326,0.907807134,0.674787403,-0.486791669,0.283100557,0
561,-0.005893755,2017,1.30E-05,0.148313717,-0.658031088,-0.321243523,0.89982988,1.001825145,-0.679092575,0.119364207,1
561,-0.038769472,2018,3.86E-05,0.014990246,-0.764705882,0.610294118,1.01569106,0.382189291,-1.450855523,0.841334375,1
561,-0.080661144,2019,1.68E-05,-0.073569987,-0.920673077,-0.009615385,1.01435486,1.468432244,-0.229453562,0.325172867,1
568,-0.003108898,2017,1.30E-05,0.336373285,-0.432642487,-0.321243523,1.183019347,-0.833446808,-0.214852862,-0.566462993,1
570,0.000259244,2018,4.20E-05,-0.140699131,-0.044117647,0.651960784,1.175489521,1.548893032,0.675044207,-0.408611996,1
582,0.023690814,2017,5.33E-05,0.187622372,0.950777202,0.730569948,1.165302487,0.907860129,-0.336293127,0.400795549,1
582,0.058133605,2018,5.47E-05,0.195823087,0.906862745,0.789215686,0.956992526,1.192831898,0.647164097,-0.468611312,1
582,-0.052447993,2019,3.60E-05,-0.222597503,-0.778846154,0.644230769,0.986838875,0.029408105,0.303300246,0.032120457,1
586,0.051805486,2016,4.94E-05,-0.45960285,0.657512116,0.741518578,0.55352736,-0.007577099,-1.346752893,-0.263495889,0
586,-0.028073995,2018,1.32E-05,-0.23755945,-0.651960784,-0.210784314,0.985290908,0.868445432,-1.072874294,-0.332133451,0
589,0.017991159,2016,1.50E-05,-0.416427742,0.231017771,-0.137318255,0.976535691,0.79912293,-0.067793831,-0.133699903,1
592,0.053750366,2016,1.04E-05,-0.491078769,0.66720517,-0.731825525,1.196601088,1.774377607,0.977174434,0.282944325,0
596,0.037590204,2016,1.22E-05,0.737688234,0.508885299,-0.460420032,1.282538458,0.79274774,1.302857384,-0.555149421,1
598,-0.025136203,2016,9.90E-05,-0.274946063,-0.431340872,0.948303716,1.101963715,1.033873999,0.535083139,-0.237183822,1
