asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br
426,0.018948439,1.33002788,-0.198427333,-2.002983092,0.661808821,2016,1.66E-05,-0.211307585,0.181734796,0.260096931,-0.056542811
426,0.005508686,1.118480371,0.051661352,-0.896533212,0.132142845,2017,1.29E-05,-0.263410978,-0.211307585,0.549222798,-0.336787565
428,0.007145351,0.962843555,1.086495717,0.195459061,-0.065853955,2019,1.95E-05,-0.169288328,0.111969458,0.165865385,0.163461538
488,-0.005605918,1.414333768,-0.086183226,0.453983871,0.148855575,2017,9.84E-06,-0.356002561,-0.013455323,-0.64507772,-0.777202073
488,-0.062052673,1.5259819,1.318210583,1.329557739,-0.284384872,2018,8.98E-06,-0.047311389,-0.356002561,-0.921568627,-0.830882353
488,-0.011187325,1.216291565,0.817222331,0.694479551,0.039766507,2019,8.13E-06,0.668631987,-0.047311389,-0.197115385,-0.860576923
498,0.003749949,1.15924469,1.174863829,0.043793901,0.352660545,2016,3.49E-05,-0.413479064,0.223086522,-0.01453958,0.554119548
498,0.009412138,1.515932545,0.418520699,0.034040896,-0.197991821,2017,0.000114165,0.264962364,-0.413479064,0.730569948,0.953367876
498,-0.008287271,0.950365726,1.31435488,0.666263054,-0.198296267,2018,2.53E-05,-0.085778958,0.264962364,-0.272058824,0.299019608
498,0.1445407,1.014419139,0.540686065,0.183533449,-0.355981557,2019,3.56E-05,0.137111844,-0.085778958,0.975961538,0.634615385
506,0.151622028,1.056402245,1.077907044,2.283634851,-0.441645177,2018,3.84E-05,-0.397343129,0.199292735,0.99754902,0.602941176
506,-0.04408806,0.845073264,0.943028666,-0.771298158,-0.1371875,2019,2.08E-05,-0.14680882,-0.397343129,-0.685096154,0.254807692
507,0.020222995,1.050048996,0.700394736,-0.542444025,0.316306133,2016,8.10E-05,-0.274035015,1.30933081,0.266558966,0.906300485
507,0.016757734,0.939845052,1.46997417,-0.10357422,-0.986245954,2017,8.14E-05,-0.347979932,-0.274035015,0.883419689,0.89119171
507,0.029702141,1.248063668,1.147719938,0.102699146,0.320837561,2018,7.80E-05,-0.15547455,-0.347979932,0.629901961,0.926470588
507,-0.004245769,0.988918716,0.603260677,0.29431855,-0.182103385,2019,6.96E-05,0.148525821,-0.15547455,-0.038461538,0.913461538
514,0.031277666,1.263797793,0.952370004,-0.107444171,0.140601781,2016,2.40E-05,-0.408399738,-0.023993552,0.424878837,0.266558966
514,-0.020939801,0.985714335,1.646514706,0.672735218,-0.211105537,2019,2.22E-05,-0.11752715,-0.219621915,-0.375,0.317307692
516,0.027190613,1.147700432,0.69656362,-0.590920862,-0.127383043,2016,1.45E-05,-0.145102081,-0.057617375,0.369951535,-0.172859451
519,-0.081762952,1.091983398,0.596689915,-1.999787394,0.84679085,2016,1.06E-05,-0.392954556,-0.023501798,-0.886914378,-0.689822294
520,0.004227345,1.032528928,0.427539142,-1.083490254,0.127597036,2017,2.89E-05,0.104317294,-0.479804232,0.443005181,0.32642487
523,0.005468457,1.219243658,0.951845717,0.349240287,0.171040923,2017,3.42E-05,-0.180495865,-0.23004304,0.544041451,0.466321244
523,0.021443349,1.033023673,1.367227059,0.223114944,0.483779307,2019,2.11E-05,-0.538565784,-0.00236774,0.403846154,0.276442308
524,0.005572637,0.965419193,1.588555034,-0.375741552,0.020976496,2017,2.99E-05,-0.044601977,-0.332390346,0.556994819,0.349740933
524,0.029792271,1.072609303,0.541183196,-0.092374561,-0.067939948,2018,4.79E-05,-0.275371756,-0.044601977,0.634803922,0.730392157
524,0.032306951,1.057193666,0.913448383,0.268798019,-0.097318125,2019,1.63E-05,0.233862589,-0.275371756,0.569711538,-0.024038462
528,0.028602389,1.25264047,0.909778207,0.62999557,0.327674299,2016,0.000126078,0.239461948,0.330033373,0.379644588,0.983844911
528,0.011339407,1.486011407,0.629804082,0.445489013,-0.047872491,2017,9.80E-05,-0.185923565,0.239461948,0.78238342,0.932642487
528,-0.006804649,1.281244512,1.259686383,0.811512543,-0.180685834,2018,3.46E-05,-0.045058657,-0.185923565,-0.24754902,0.509803922
528,0.008837966,1.31044068,0.088951869,0.162744193,-0.156063631,2019,3.25E-05,0.325326927,-0.045058657,0.192307692,0.574519231
530,0.014154521,0.982881349,1.652394118,0.332365112,-0.209315296,2019,1.27E-05,0.153234461,-0.233588132,0.295673077,-0.189903846
533,0.003029059,0.363103052,1.113401815,0.804706923,-0.251992345,2017,1.12E-05,-0.233604402,-0.66569752,0.295336788,-0.582901554
