asset,date,rank_beta,rank_br,xret_cumulative,ch4mkt_beta_avg,ch4smb_beta_avg,ch4vmg_beta_avg,ch4pmo_beta_avg,roe_avg,roa_avg,log_me_avg,bm_avg,ep_value,sue_value,cdi_value,ndp_value,ORR,TOR_growth,TOC_growth,OC_growth,Total_AGR,tl_growth,COD_IE,COD_FE,LEV,LNTAS,Liquidity,FAP,LNTL
300087,2019,0.259615385,0.680288462,0.673425733,1.222714125,0.914671604,-0.691935156,-1.234297023,-0.010287363,-0.00283549,16.02470065,0.077537928,-0.000472799,0.096625554,-2.860049858,0.125464935,0.20663375,0.20663375,0.209768066,0.152067215,0.208352722,0.134183059,,0.022074684,2.853033003,21.62236384,1.77827443,0.09584801,21.19080496
300091,2016,0.828756058,0.114701131,0.014468045,0.695554224,0.307864506,-0.25201485,0.325950435,0.036004863,0.013023614,15.52800577,0.232982863,0.008864409,1.477154046,-1.321461052,0.408262571,0.656892556,0.656892556,0.668894378,0.774909108,0.897852962,0.645378067,,0.026562719,2.378611545,22.42955792,1.112013356,0.124726948,21.88411786
300091,2017,-0.062176166,0.357512953,-0.325366435,1.217703777,0.690975661,-0.35285025,-0.376143844,0.02329252,0.009380413,15.21564387,0.596420056,0.010372467,-1.802220034,-0.768948226,0.531499312,0.046991575,0.046991575,0.049489158,0.017222829,0.112739331,0.10660713,,0.024517208,2.360676547,22.53638276,1.179500468,0.162920055,21.98541655
300091,2018,0.865196078,-0.848039216,-0.300746214,1.38802462,1.873484473,0.755848157,-0.186344932,0.009577061,0.004069603,14.99350653,0.801258568,0.005609087,0.698265681,-2.48698007,0.870912261,-0.334928499,-0.334928499,-0.274520233,-0.321796666,0.034032168,0.05409356,,0.021656034,2.424684985,22.56984865,1.148779794,0.174980954,22.03809776
300091,2019,-0.9375,-0.875,0.174858336,1.313185011,2.728743072,-0.283635151,-0.005454002,0.010999526,0.004513792,15.23735452,0.686552647,0.006921151,-0.197176573,,0.629082223,0.436977884,0.436977884,0.413944538,0.508537075,0.029591022,-0.13552401,,0.027047415,1.973734004,22.59901031,1.420513938,0.14798011,21.89246602
300092,2018,0.791666667,-0.210784314,0.004522079,0.980490488,1.330428235,0.121773238,0.055365336,0.0275733,0.017941206,13.98037048,0.501327967,0.015559967,0.382464339,-0.472928676,0.251289033,0.430318325,0.430318325,0.364728617,0.366453295,0.276195054,0.559473511,,,1.721395568,20.82042714,1.942949616,0.158463478,19.95072415
300092,2019,-0.177884615,0.367788462,0.134793298,1.228012969,1.851017459,-0.127947192,-0.03912013,0.040988846,0.023842777,14.26524966,0.429024848,0.02041809,0.304437843,-1.996958314,0.247934729,0.285359247,0.285359247,0.328002247,0.384562315,0.025464187,-0.081957837,,,1.600450402,20.84557252,2.16741947,0.160786065,19.86521219
300093,2016,-0.880452342,0.37641357,-0.525405315,1.702531142,1.499023405,-0.309384134,0.827544841,0.004458693,0.002904504,14.66293126,0.396148661,0.000452023,-0.015742774,-0.06722876,0.188056987,0.557690672,0.557690672,0.555166068,0.584895924,0.165825383,0.433183411,,0.037269062,1.7408843,21.17736056,2.132175247,0.329849619,20.32305655
300095,2016,0.932148627,-0.615508885,-0.442217805,0.925301777,0.184229362,-0.886891982,0.259917971,0.013266132,0.007523709,14.4200962,0.765484649,0.015644859,-0.182025058,-1.21085241,0.58055516,0.55425793,0.55425793,0.501037896,0.55467523,0.049097979,0.068855308,,0.02888597,1.826963851,21.65986754,1.608082337,0.131397899,20.86721775
300099,2016,0.861066236,0.52180937,-0.497987284,1.278807549,1.314198783,-0.515748531,0.000664386,0.004792308,0.004546218,14.72929491,0.686323079,-0.000816806,0.937894326,-0.474409918,-0.050957522,0.256951697,0.256951697,0.253175578,0.280967261,0.07177249,0.528198365,,-0.204763322,1.077911391,21.34275299,6.994870835,0.107484281,18.71554461
300100,2018,-0.867647059,0.014705882,-0.29530012,0.785624227,1.346221245,-0.83609704,0.713510045,0.001929085,0.000756389,14.60648162,1.117997733,0.006204765,-1.544922795,,1.533999595,-0.345142915,-0.345142915,-0.343874374,-0.36147293,-0.184838309,-0.084217996,,0.025030776,3.220330809,22.47165558,0.956697023,0.328223134,22.09982769
300101,2016,-0.211631664,0.256865913,-0.005936641,1.165372219,-0.288725554,-2.436038642,-0.007566657,0.013686081,0.011071851,15.89354025,0.123821151,0.004185192,1.208004007,-0.377976468,-0.026930545,-0.106386749,-0.106386749,-0.121954386,-0.068438673,0.323896896,1.036534567,,0.012050834,1.364792959,21.13900939,4.338250436,0.050697152,19.81958133
300101,2017,0.010362694,-0.582901554,-0.284502124,0.868741127,0.098838878,-2.545760374,0.685101067,0.002313369,0.001760289,15.63390344,0.183768586,0.00053765,-0.925399333,-2.510850152,-0.000679521,0.048293746,0.048293746,0.253133665,0.291127823,0.03761217,0.166030308,,-0.01141338,1.429323966,21.17593147,3.587097431,0.063772757,19.97318641
300101,2019,-0.862980769,-0.776442308,0.596924639,1.168458686,0.55992994,-1.354728556,0.115261164,0.028371136,0.018550675,16.00865193,0.130369361,0.004155614,2.13275994,-0.73811939,0.033081555,1.116017508,1.116017508,0.556632256,0.73761618,0.182819442,0.233680165,,0.007278474,1.559248625,21.42378292,2.605353681,0.063042334,20.39841772
300102,2017,0.665803109,-0.779792746,-0.124684216,0.900891893,0.532743703,-0.310655155,-0.173421525,0.011216048,0.005727849,15.27531114,0.663355041,0.000621194,-0.986393345,-1.07782901,0.662707503,-0.080844492,-0.080844492,0.127861844,0.141722629,0.186388455,0.365832433,,0.026360594,2.24967725,22.59067155,1.169544903,0.363005218,22.00277011
300102,2018,-0.632352941,0.022058824,-0.236574367,1.0548907,0.660608743,-1.780986056,0.718997739,-0.013589191,-0.005871045,15.03611113,0.821505953,-0.015027186,-3.83847457,-1.453752806,0.944942021,0.042822917,0.042822917,0.22220354,0.266796048,-0.000511612,0.125017626,,0.033001371,2.668502228,22.59015981,1.571374827,0.513384739,22.12056881
300103,2016,0.699515347,0.518578352,-0.378388719,0.693097463,1.384101737,0.02844457,-0.800980565,0.011262914,0.009731817,14.85383542,0.313496797,0.004754711,1.800969458,-3.832890824,-0.004082175,-0.118695466,-0.118695466,-0.079007418,-0.128344647,0.047403356,0.035916048,,,1.148550669,20.7646385,6.032926685,0.105180724,18.71930847
