asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
300243,0.002809847,2017,5.47e-05,0.109624277,-0.132144433,0.264248705,0.759067358,-0.239017144,0.976507622,1.335882017,-0.060933389,-0.214891674,2052155.2416666665
300259,0.017582311,2017,1.91e-05,-0.049832972,-0.242410741,0.906735751,-0.049222798,-0.089332329,0.893373081,1.050941047,-0.108664789,0.321543928,2857895.6358333337
300262,0.001502141,2017,2.81e-05,0.280035177,-0.496209259,0.095854922,0.303108808,-0.212234072,1.137678148,1.113923569,-0.147576613,0.106003751,3766385.0091666672
300263,-0.006630466,2017,2.05e-05,-0.111969556,-0.372888021,-0.691709845,-0.012953368,-0.039254652,1.155445712,1.500136826,-0.406858274,-0.458648433,3807969.9550000005
300264,0.006495298,2017,9.07e-06,-0.007806906,-0.391987041,0.603626943,-0.862694301,-0.254982408,0.973418506,1.419954059,-0.477804666,-0.020506432,2776674.424166666
300281,-0.000429628,2017,4.28e-05,-0.096792907,-0.405625716,-0.147668394,0.634715026,-0.264031372,0.69189188,0.154173998,-1.093812276,0.251956901,2247445.2325000004
300293,0.008341904,2017,1.18e-05,-0.128462432,-0.324486624,0.691709845,-0.505181347,-0.3504525,1.190734935,1.232119517,-0.812416556,-0.412944631,3740323.973333331
300299,0.014801911,2017,5.41e-05,0.430663793,-0.527484062,0.857512953,0.748704663,-0.360456985,0.987351287,1.863728104,-0.327389127,-0.432193787,3732413.994166665
300320,-0.096407577,2017,6.63e-05,-0.110670045,-0.36924176,-0.984455959,0.841968912,0.321080436,1.403972425,-0.005228009,-0.646042061,0.631656904,4619762.089999994
300333,-0.007988423,2017,1.28e-05,0.053477095,-0.213725537,-0.743523316,-0.347150259,-0.502261921,1.035601995,0.341250171,-2.307581203,-0.314298229,4039125.796666665
