asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
300212,-6.14e-05,2017,1.76e-05,0.231412155,0.114550995,-0.095854922,-0.111398964,-0.208346648,0.756759282,1.301301725,-0.814903447,-1.0224809,8127247.246666663
300215,-0.004900879,2017,1.05e-05,0.06293856,-0.418620219,-0.613989637,-0.699481865,-0.321100544,1.311886629,1.32388247,-0.200559309,0.179433028,6268009.120833333
300274,0.007310996,2017,9.76e-06,0.03326646,-0.197407694,0.642487047,-0.79015544,0.763169517,1.404252076,-0.112704808,-1.505162964,0.122393775,12819065.221666679
300284,0.001785789,2017,4.64e-05,0.393632563,-0.438669059,0.139896373,0.665803109,-0.220784523,0.837196354,0.481747634,-0.619397306,-0.002458245,6584098.559999998
300287,-0.006236604,2017,1.5e-05,-0.452001105,-0.224437659,-0.678756477,-0.186528497,-0.38356535,1.141519721,0.74551277,-0.972328742,-0.554363098,8718895.256666662
300296,0.007271248,2017,6.87e-06,-0.396008937,0.017091084,0.637305699,-0.981865285,0.14261231,1.147673897,-0.783908437,-2.05945585,0.375482137,16511141.545833329
300323,0.005008121,2017,1.02e-05,-0.526088581,-0.083255104,0.502590674,-0.75388601,0.793602167,0.904590499,-0.375326343,-2.220002406,0.148528991,10047951.282500014
300355,0.002945378,2017,7.92e-06,-0.318006416,-0.449208281,0.29015544,-0.971502591,0.979894897,1.330416358,1.546010782,0.541345818,0.236272965,11574068.434166657
300376,0.008454251,2017,3.41e-05,-0.089825495,-0.414249899,0.696891192,0.461139896,-0.373913927,1.01601748,1.298419729,0.252910893,0.022297503,9478372.641250001
300450,0.00883766,2017,9.79e-06,0.105518694,0.152919392,0.71761658,-0.78238342,0.659005652,1.179856161,0.248065195,-1.231589887,-0.067718884,9636969.68181818
600004,0.003085688,2017,2.25e-05,0.39307732,0.031761778,0.305699482,0.082901554,0.518774347,1.44969282,-0.839181066,-0.285795513,0.053307766,24099837.59166667
600009,-0.012578496,2017,3.03e-05,0.503389226,0.483023948,-0.860103627,0.367875648,0.692940045,0.732218244,-1.095802877,-0.178532274,-0.02547597,40027614.74249997
600010,-0.000208082,2017,7.05e-05,0.077637286,-0.303133487,-0.119170984,0.870466321,0.216289856,1.11532414,0.897641922,0.582560605,-0.155768623,53229031.01916673
600011,-0.005949753,2017,2.18e-05,-0.019653309,-0.133293894,-0.660621762,0.049222798,-0.103929244,0.319508079,0.326775139,-0.081620574,0.129538057,75039999.99999999
600012,0.003035853,2017,2.95e-05,0.087653018,-0.557967861,0.297927461,0.341968912,-0.331277769,1.124320146,0.440455274,-0.349612873,0.64101502,15732685.999999998
600017,0.010223842,2017,9.59e-05,-0.026972413,-0.293678742,0.759067358,0.930051813,-0.054166531,0.917886188,0.856084591,0.335029377,0.076406647,13081781.204166656
600018,-0.002232996,2017,4.58e-05,0.152847414,-0.02654833,-0.365284974,0.650259067,0.310138802,0.488812823,-0.281347741,-0.028720503,-0.185243655,148989538.75916615
600019,-0.00725415,2017,8.1e-06,-0.112947271,0.20293322,-0.715025907,-0.953367876,0.385395424,1.132680082,0.293227244,1.3881094,-0.196645091,159507427.29166692
600020,0.003661164,2017,9.08e-06,0.435244643,-0.250466208,0.365284974,-0.857512953,0.085093229,1.024009563,0.735177807,0.414606671,-0.048308248,11480324.441666668
