Stkcd,Trdmnt,beta_bri
4,201808,0.4823887013632344
4,201809,5.946577825724987
4,201810,6.344772262629064
4,201811,-8.813249433562603
4,201812,-0.0718820343361272
4,201901,-7.746712578640682
4,201902,-11.576385235350294
4,201903,-5.263543612213386
4,201904,13.913010944824444
4,201905,45.73100968811213
4,201906,38.22050202584396
4,201907,37.81599839526081
4,201908,34.7793561444964
4,201909,34.88996425846328
4,201910,34.304322112981666
4,201911,74.77191209874064
4,201912,55.21025763078797
4,202001,55.49168884891719
4,202002,61.139320702375215
4,202003,92.25750538636706
4,202004,80.44191180567336
4,202005,59.21108364392944
4,202006,84.2299111030162
4,202007,106.00158341983229
4,202008,130.3486988193371
4,202009,127.05774798027562
4,202010,239.50087294638345
4,202011,148.8800924583035
4,202012,187.36696232066276
4,202101,273.6482198314096
4,202102,278.8528158901835
4,202103,162.1259393692435
4,202104,168.68228690136175
4,202105,129.8009267676589
4,202106,213.15791298325465
4,202107,264.0453137409546
4,202108,254.0335662709215
4,202109,233.5961183438073
4,202110,200.12961784029915
4,202111,312.47828851029675
6,201512,128.99528439541314
6,201601,130.50654539281305
6,201602,129.23448203023378
6,201603,94.69636441754068
6,201604,114.96793080826347
6,201605,85.12599109036971
6,201606,88.63002561852782
6,201607,106.25948434616632
6,201608,98.35104405573476
6,201609,29.12316403048952
6,201610,30.620415328223228
6,201611,-6.381830854043862
6,201612,-21.67581016944851
6,201701,-40.85179024928338
6,201702,-40.908141998838566
6,201703,-39.62845252915912
6,201704,-27.34906113160995
6,201705,10.087701639572565
6,201706,8.461191969897369
6,201707,8.844414882243722
6,201708,8.936527313208524
6,201709,13.571045271061326
6,201710,13.292331207016744
6,201711,13.174448384845372
6,201712,14.436074069911022
6,201801,13.130416116446211
6,201802,13.92526291819947
6,201803,15.563706901558756
6,201804,15.104130756098616
6,201805,60.43023592592844
6,201806,61.68437382206592
6,201807,43.62408076748686
6,201808,67.74222416550967
6,201809,78.82522503324711
6,201810,57.476913502986974
6,201811,60.53649949004702
6,201812,53.16373612176349
6,201901,52.153894286491536
6,201902,53.49645826406528
6,201903,60.57578640398388
6,201904,35.80103566985684
6,201905,17.665081316119178
6,201906,17.350535204495014
6,201907,32.38125702671684
6,201908,3.1874301210036577
6,201909,-30.56813635153628
6,201910,-21.3323614256665
6,201911,-36.02873557760163
6,201912,-29.116625552397775
6,202001,-28.113855983565287
6,202002,-31.95473471467897
6,202003,-50.54585271618342
6,202004,-29.746201894637764
6,202005,-49.93000630325389
6,202006,-22.99319038846329
6,202007,-71.21491597031684
6,202008,-24.559520466823727
6,202009,-34.27238869548785
6,202010,14.074827489970232
6,202011,33.54906452045603
6,202012,64.42033952383983
6,202101,33.16249630413438
6,202102,63.024499856797206
6,202103,97.31694437569696
6,202104,149.4217471107772
6,202105,229.44582106109743
6,202106,195.87900857913215
6,202107,225.76906746492372
6,202108,234.40707400689348
6,202109,242.99244643857105
6,202110,174.25880028054445
6,202111,177.53441905452144
8,201512,100.44194219604468
8,201601,-6.489244052038359
8,201602,-16.138292907165233
8,201603,3.39475528498005
8,201604,-5.235533169657089
8,201605,-17.05728427135884
8,201606,-9.67621079419525
8,201607,-32.399597533519184
8,201608,-24.7503686295292
8,201609,5.294701414946296
8,201610,61.23774768336367
8,201611,15.55465457028724
8,201612,-20.853426115286325
8,201701,26.51634520283612
8,201702,20.82647470509332
8,201703,24.661143598476343
8,201704,18.48767833060131
8,201705,2.4591368549180963
8,201706,1.6224854093170142
8,201707,0.6094047589889806
8,201708,0.1757934367822544
8,201709,1.301942376111891
8,201710,0.8314863103497072
8,201711,0.075975357942565
8,201712,-0.2984292955931806
8,201801,-1.1133058973758074
8,201802,-1.2723225896433252
8,201803,-1.2567139934980798
8,201804,-1.9660107257897268
8,201805,9.807104602683197
8,201806,4.727761184671735
8,201807,12.434878170581342
8,201808,7.081596527003455
8,201809,-2.7987029727957946
8,201810,3.618112969829994
8,201811,1.0064839056626766
8,201812,-2.391527834559568
8,201901,-6.311148179911811
8,201902,-23.09436338476806
8,201903,-70.70783913109074
8,201904,-60.36867408451163
8,201905,-62.0470462994788
8,201906,-48.05741332764519
8,201907,-36.324703781365685
8,201908,-21.760879753267837
8,201909,-27.311612212172093
8,201910,-28.46901285327733
8,201911,-19.1517441302515
8,201912,-38.1616569081538
8,202001,-40.84063626188625
8,202002,-32.18573419686452
8,202003,-37.65359686430384
8,202004,-19.651122616966063
8,202005,-35.42506536897531
8,202006,-45.52081937838901
8,202007,-92.22332205315098
8,202008,-93.44192496691332
8,202009,-113.9464558442704
8,202010,-141.90927411074608
8,202011,-125.411330935685
8,202012,-8.03596779136376
8,202101,-71.63365260354095
8,202102,-46.78509665618401
8,202103,-35.64669252929127
8,202104,-52.41515481107285
8,202105,-31.67048968307188
8,202106,-15.404725831574297
8,202107,-2.133754057558121
8,202108,31.89028579955925
8,202109,69.95636690012236
8,202110,71.80521851714968
8,202111,52.9347989548167
9,201512,-130.10403629734947
9,201601,-95.79996364520808
9,201602,-86.59014323855092
9,201603,-88.99641447491638
9,201604,-85.61876069758773
9,201605,-36.665635552206346
9,201606,-37.77873907066824
9,201607,-40.46623512474142
9,201608,-6.523900288127507
9,201609,-0.2729168650658593
9,201610,12.407053435325963
9,201611,39.34861114485002
9,201612,18.442913073793164
9,201701,5.355034724200621
9,201702,-7.784806103856603
9,201703,-1.3709931976429317
9,201704,-15.227617055431068
9,201705,-3.2473098394623445
9,201706,-2.890921124929328
9,201707,-4.103663689169339
9,201708,-4.875872875256564
9,201709,-5.25593819456907
9,201710,-5.414942514268635
9,201711,-6.020972737082705
9,201712,-4.857847333229248
9,201801,-3.705577080708185
9,201802,-2.867739251888846
9,201803,-3.3429936375008147
9,201804,-1.6141465238454025
9,201805,-8.332949067084243
9,201806,-7.004771941086432
9,201807,7.484072528366909
9,201808,11.506163664594451
9,201809,14.507014503845198
9,201810,19.500301559797503
9,201811,13.462563267926498
9,201812,13.708109464069878
9,201901,3.90317749703469
