asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,rank_beta,rank_br,choice,industry
61,0.029019183,0.011188232,0.008696511,0.005884971,0.001878056,2016,0.0,-0.406292967,0.504674044,-1.0,0,L72
61,0.016556246,0.008369372,0.003971082,-0.004320222,0.003009787,2018,0.0,0.357479154,0.504674044,-1.0,0,L72
61,0.058329171,0.010647985,0.01242068,0.001641978,0.003511734,2019,0.0,-0.258889486,0.504674044,-1.0,0,L72
62,-0.079424377,0.01242813,0.006638603,-0.01020857,0.000480026,2016,0.0,-0.260647066,-0.11405443374999998,-1.0,0,L72
62,0.025641317,0.010739466,0.008309989,-0.007146671,0.000874937,2017,0.0,-0.019149556,-0.11405443374999998,-1.0,0,F51
62,0.013034714,0.014738442,0.003861014,-0.006006283,0.002514453,2018,0.0,0.090720172,-0.11405443374999998,-1.0,0,F51
62,-0.078980673,0.009254671,0.002322196,-0.006120376,0.002759439,2019,0.0,0.163032299,-0.11405443374999998,-1.0,0,F51
63,0.036762273,0.011918686,0.004949055,0.00289491,0.003197245,2016,0.0,-0.459374483,-0.254133038,-1.0,0,C39
63,-0.00012795,0.014472677,0.003173722,0.006206466,-0.001494296,2017,0.0,1.461590127,-0.254133038,-1.0,0,C39
63,-0.03932704,0.016486524,-0.018117271,-0.026211129,-0.00321387,2018,0.0,0.215286372,-0.254133038,-1.0,0,C39
63,-0.046422567,0.013053673,-0.009720902,-0.025276898,0.010620373,2019,0.0,-0.180596777,-0.254133038,-1.0,0,C39
65,-0.04954178,0.012077619,0.006251164,-0.008942137,-0.000848183,2016,8.13e-05,-0.520266378,0.32552987125,0.990852867,1,E48
65,0.028572002,0.009633774,0.010592151,-0.003631775,-0.004906473,2017,0.000192438,0.132845187,0.32552987125,0.990852867,1,E48
65,0.025055216,0.014725081,0.006772204,-0.000573194,0.006959379,2018,0.000110069,-0.165083947,0.32552987125,0.990852867,1,E48
65,0.027258252,0.01282326,0.012101207,0.004564688,0.000167841,2019,0.000201098,0.176098413,0.32552987125,0.990852867,1,E48
66,0.03339193,0.01533336,-0.007120741,-0.023117482,0.006043288,2016,0.0,-0.222919525,0.10600157525000001,-1.0,0,C39
66,-0.005553421,0.009459338,-0.003028992,-0.013696664,0.012767493,2017,0.0,0.436132841,0.10600157525000001,-1.0,0,C39
66,0.017642605,0.010012811,0.003574681,-0.018802089,-0.004878008,2018,0.0,0.271616451,0.10600157525000001,-1.0,0,C39
66,0.00856443,0.010945628,-0.00254246,-0.023400923,0.006884336,2019,0.0,0.095337573,0.10600157525000001,-1.0,0,C39
68,0.032652917,0.010270925,0.009064921,-0.002219517,-9.23e-05,2016,0.0,-0.573890528,0.04760897975000001,-1.0,0,C39
68,-0.006628716,0.009866487,0.009874373,-0.004003119,-0.000467541,2017,0.0,0.360917291,0.04760897975000001,-1.0,0,C39
68,0.017691741,0.008524114,0.009341704,-0.002115142,0.001335188,2018,0.0,-0.179496705,0.04760897975000001,-1.0,0,C39
68,-0.001234654,0.010085108,0.020543555,-0.00199341,-0.00468604,2019,0.0,-0.237828603,0.04760897975000001,-1.0,0,C39
69,0.022896686,0.012503459,0.00051203,-0.003094331,0.008437163,2016,0.0,-0.292330618,0.02184410575000001,-0.629601518,0,N78
69,-0.004805404,0.013991571,-0.006391298,0.00115337,0.00264072,2017,1.08e-05,0.034928684,0.02184410575000001,-0.629601518,0,N78
69,0.026641371,0.013918372,-0.001734519,0.007848944,0.003856841,2018,0.0,-0.098458695,0.02184410575000001,-0.629601518,0,K70
69,-0.013256159,0.012932216,-0.000805337,0.004747239,0.003545173,2019,0.0,0.267914144,0.02184410575000001,-0.629601518,0,K70
70,-0.019887329,0.01028948,0.012322901,-0.003482426,-0.000472222,2016,3.41e-05,-0.390256724,-0.281091996,0.22916065000000002,0,C38
70,0.001826791,0.010086356,0.011419746,0.001745813,-0.002404159,2017,1.1e-05,1.000893613,-0.281091996,0.22916065000000002,0,C38
70,-0.013033044,0.011222328,0.008219143,-0.008185861,-0.003088719,2018,0.0,-0.211873373,-0.281091996,0.22916065000000002,0,C38
70,-0.038285549,0.009882327,0.008684222,-0.018693877,0.001438644,2019,9.36e-06,-0.177640255,-0.281091996,0.22916065000000002,0,C38
78,0.096282314,0.011013407,0.006803996,-0.009864183,0.000423315,2016,0.0,-0.204657386,0.05023286299999999,-1.0,0,F52
78,-0.003116948,0.008304969,0.003772527,-0.004153705,-0.000514017,2017,0.0,-0.287731104,0.05023286299999999,-1.0,0,F52
78,-0.017627996,0.008124486,0.011427587,0.00558418,-0.000877141,2018,0.0,0.192761972,0.05023286299999999,-1.0,0,F52
78,0.007837134,0.009567885,0.01377726,0.002926851,-0.005347945,2019,0.0,-0.234152924,0.05023286299999999,-1.0,0,F52
88,-0.05390295,0.011709675,0.00476646,-0.002083941,0.004911394,2016,2.63e-05,-0.381722289,0.16763553925000002,0.744633663,1,G54
88,0.030071015,0.01054133,0.010627814,-0.000416669,-0.006082881,2017,3.78e-05,-0.177024709,0.16763553925000002,0.744633663,1,G54
88,0.023693541,0.012651618,0.008158783,0.000927726,0.002331372,2018,1.21e-05,0.071539667,0.16763553925000002,0.744633663,1,G54
88,-0.007109237,0.01202264,0.007306053,0.002465963,0.001645126,2019,1.23e-05,0.004991045,0.16763553925000002,0.744633663,1,G54
89,0.033396623,0.011108281,0.010276293,0.00196566,0.006374298,2016,2.58e-05,-0.174571306,0.0778856365,0.7836802215,0,G56
89,0.003437511,0.011089409,-0.0004722,0.004005679,0.002020394,2017,1.16e-05,0.144915447,0.0778856365,0.7836802215,0,G56
89,-0.037219412,0.008598889,-0.00140875,-0.001190636,0.002193111,2018,4.48e-05,-0.134802545,0.0778856365,0.7836802215,0,G56
89,0.012665202,0.008290642,-0.003447934,-0.000701614,-0.00067242,2019,3.15e-05,-0.001212601,0.0778856365,0.7836802215,0,G56
90,-0.029972222,0.011346819,0.008284241,-0.003944379,0.001156582,2016,1.66e-05,-0.322281195,0.20688862624999999,0.77125089475,0,E48
